record_type,stage,block,arm,run,wal_mode,snapshot,official_status,eligible,errors,coverage_errors,warnings,qps,p99_ms,p999_ms,max_ms,elapsed_seconds,before.keys,before.data_capacity_bytes,before.data_bytes,before.data_rejections_total,before.applied_sequence,before.durable_sequence,before.wal_pending_bytes,after.keys,after.data_capacity_bytes,after.data_bytes,after.data_rejections_total,after.applied_sequence,after.durable_sequence,after.wal_pending_bytes,settled.keys,settled.data_capacity_bytes,settled.data_bytes,settled.data_rejections_total,settled.applied_sequence,settled.durable_sequence,settled.wal_pending_bytes,resources.engine.cpu_cores,resources.engine.cpu_window_seconds,resources.engine.cpu_samples,resources.engine.rss_bytes,resources.engine.rss_samples,resources.engine.hwm_bytes,resources.engine.errors,resources.engine.cpu_first_utc_ns,resources.engine.cpu_last_utc_ns,resources.gateway.cpu_cores,resources.gateway.cpu_window_seconds,resources.gateway.cpu_samples,resources.gateway.rss_bytes,resources.gateway.rss_samples,resources.gateway.hwm_bytes,resources.gateway.errors,resources.gateway.cpu_first_utc_ns,resources.gateway.cpu_last_utc_ns,resources.bench.cpu_cores,resources.bench.cpu_window_seconds,resources.bench.cpu_samples,resources.bench.rss_bytes,resources.bench.rss_samples,resources.bench.hwm_bytes,resources.bench.errors,resources.bench.cpu_first_utc_ns,resources.bench.cpu_last_utc_ns,snapshot_internal_samples,snapshot_idle_samples,snapshot_completed_delta,snapshot_window.first.line,snapshot_window.first.started_at,snapshot_window.first.finished_at,snapshot_window.first.snapshot_successes_total,snapshot_window.last.line,snapshot_window.last.started_at,snapshot_window.last.finished_at,snapshot_window.last.snapshot_successes_total,measurement_started_at,measurement_end_utc_ns,failed_stats_queries,stage_execution_state,contrast,numerator_stage,denominator_stage,qps_ratio,p99_ratio,p999_ratio,engine_rss_ratio,engine_rss_increase_bytes,eligible_pairs,classification,triggered_metrics,metrics.qps.ratios,metrics.qps.recorded_ratios,metrics.qps.count_past_threshold,metrics.qps.median,metrics.qps.minimum,metrics.qps.maximum,metrics.p99.ratios,metrics.p99.recorded_ratios,metrics.p99.count_past_threshold,metrics.p99.median,metrics.p99.minimum,metrics.p99.maximum,metrics.p999.ratios,metrics.p999.recorded_ratios,metrics.p999.count_past_threshold,metrics.p999.median,metrics.p999.minimum,metrics.p999.maximum,engine_rss_diagnostic,engine_rss_pairs_past_threshold
round,stage-01-A,1,A,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],30640.178585172936,2.499106,3.376833,9.660969,16.318442747,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,1.2001578659178505,16.222865802,157,5394432,157,5394432,[],1790080424022000000,1790080440245000000,2.7115801906414188,16.223012748,157,14888960,157,14888960,[],1790080424022000000,1790080440245000000,2.0069324482585364,16.223764795,157,20414464,157,20414464,[],1790080424023000000,1790080440246000000,62,62,0,3,2026-09-22T12:33:44.176128+00:00,2026-09-22T12:33:44.180048+00:00,1,64,2026-09-22T12:34:00.037045+00:00,2026-09-22T12:34:00.039540+00:00,1,2026-09-22T12:33:43.934582724Z,1790080440253025471,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],[],31258.655545164445,2.346493,3.100853,18.193481,15.995569588,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,1.2263970878123858,15.908387417,154,6217728,154,6217728,[],1790080440510000000,1790080456418000000,2.765006135348041,15.804666558,153,14860288,153,14860288,[],1790080440510000000,1790080456315000000,2.0481203456958665,15.804735336,153,20492288,153,20492288,[],1790080440511000000,1790080456316000000,61,56,14,3,2026-09-22T12:34:00.666052+00:00,2026-09-22T12:34:00.668283+00:00,1,63,2026-09-22T12:34:16.262075+00:00,2026-09-22T12:34:16.264488+00:00,15,2026-09-22T12:34:00.422686604Z,1790080456418256192,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-reliable-snapshot-off,reliable,off,valid,True,[],[],[],8906.398111680548,5.397427,8.46179,20.522481,56.139417274,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,0.458305196240466,56.010711226,547,5468160,547,5468160,[],1790080456681000000,1790080512692000000,0.8480538359729352,56.010595065,547,14860288,547,14860288,[],1790080456681000000,1790080512692000000,0.6118499580533381,56.01046392,547,20647936,547,20860928,[],1790080456682000000,1790080512692000000,218,218,0,3,2026-09-22T12:34:16.834845+00:00,2026-09-22T12:34:16.835557+00:00,1,220,2026-09-22T12:35:12.486721+00:00,2026-09-22T12:35:12.488578+00:00,1,2026-09-22T12:34:16.595076593Z,1790080512734493867,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-reliable-snapshot-on,reliable,on,valid,True,[],[],[],8864.231575971862,6.812812,8.670446,16.08973,56.406468594,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,0.4567620280555821,56.221836367,549,6299648,549,6299648,[],1790080513009000000,1790080569230000000,0.8469999802693471,56.221961168,549,15007744,549,15007744,[],1790080513009000000,1790080569231000000,0.6095476161338117,56.222022846,549,20414464,549,20414464,[],1790080513009000000,1790080569231000000,219,216,55,3,2026-09-22T12:35:13.162472+00:00,2026-09-22T12:35:13.163362+00:00,1,221,2026-09-22T12:36:09.077655+00:00,2026-09-22T12:36:09.078374+00:00,56,2026-09-22T12:35:12.922652737Z,1790080569329121331,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],30543.839182517106,2.465021,3.31331,12.882997,16.369913324,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,1.2148859771142997,16.240207206,157,5320704,157,5320704,[],1790080664412000000,1790080680653000000,2.7043092699950706,16.240746015,157,14970880,157,14970880,[],1790080664413000000,1790080680654000000,1.9955801893660297,16.240890831,157,20578304,157,22446080,[],1790080664413000000,1790080680654000000,63,63,0,3,2026-09-22T12:37:44.567807+00:00,2026-09-22T12:37:44.569500+00:00,1,65,2026-09-22T12:38:00.685131+00:00,2026-09-22T12:38:00.687163+00:00,1,2026-09-22T12:37:44.326011766Z,1790080680695925090,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],[],29948.177803702525,2.672029,3.947332,17.015111,16.695506594,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,1.2029303365606856,16.559562424,160,6144000,160,6144000,[],1790080680961000000,1790080697521000000,2.650432549541333,16.559561196,160,14942208,160,14942208,[],1790080680962000000,1790080697521000000,1.9583818554368158,16.559589699,160,20557824,160,22798336,[],1790080680962000000,1790080697522000000,64,60,15,3,2026-09-22T12:38:01.117825+00:00,2026-09-22T12:38:01.120230+00:00,1,66,2026-09-22T12:38:17.522760+00:00,2026-09-22T12:38:17.524571+00:00,16,2026-09-22T12:38:00.874919733Z,1790080697570426327,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-reliable-snapshot-off,reliable,off,valid,True,[],[],[],8916.240129315553,5.36941,8.528752,23.157244,56.077448874,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,0.4535005713060088,55.920546973,546,5357568,546,5357568,[],1790080697828000000,1790080753748000000,0.85120737214482,55.92056831,546,14946304,546,14946304,[],1790080697828000000,1790080753749000000,0.6126547121972582,55.920568826,546,20561920,546,20561920,[],1790080697828000000,1790080753749000000,218,218,0,3,2026-09-22T12:38:17.981537+00:00,2026-09-22T12:38:17.982367+00:00,1,220,2026-09-22T12:39:13.646229+00:00,2026-09-22T12:39:13.646961+00:00,1,2026-09-22T12:38:17.741461179Z,1790080753818910053,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-reliable-snapshot-on,reliable,on,valid,True,[],[],[],8867.39473203741,6.744083,8.705055,20.611043,56.386347412,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,0.4560235402632577,56.225167642,549,6217728,549,6217728,[],1790080754120000000,1790080810345000000,0.8451702322368335,56.225359327,549,14884864,549,14884864,[],1790080754120000000,1790080810345000000,0.6077324147193248,56.225403109,549,20574208,549,20574208,[],1790080754120000000,1790080810346000000,219,215,55,3,2026-09-22T12:39:14.274340+00:00,2026-09-22T12:39:14.275312+00:00,1,221,2026-09-22T12:40:10.190886+00:00,2026-09-22T12:40:10.191598+00:00,56,2026-09-22T12:39:14.033915802Z,1790080810420263214,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-03-C,1,C,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],30945.163377038,2.424592,3.191644,12.0512,16.157613838,0,131072,0,0,0,0,0,5000,131072,103890,0,500000,500000,0,5000,131072,103890,0,500000,500000,0,1.2163945215715386,16.030983085,155,5312512,155,5312512,[],1790080877643000000,1790080893674000000,2.74530396554848,16.031011703,155,15003648,155,15003648,[],1790080877643000000,1790080893674000000,2.025447700329596,16.031023657,155,20385792,155,20385792,[],1790080877644000000,1790080893675000000,62,62,0,3,2026-09-22T12:41:17.799082+00:00,2026-09-22T12:41:17.802136+00:00,1,64,2026-09-22T12:41:33.662132+00:00,2026-09-22T12:41:33.663860+00:00,1,2026-09-22T12:41:17.556197938Z,1790080893713811776,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-03-C,1,C,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],[],30302.130656645513,2.529456,3.427221,10.557327,16.500489872,0,131072,0,0,0,0,0,5000,131072,103890,0,500000,500000,0,5000,131072,103890,0,500000,500000,0,1.198343320495485,16.339224048,158,6152192,158,6152192,[],1790080893979000000,1790080910318000000,2.6879980749350967,16.339297416,158,14938112,158,14938112,[],1790080893979000000,1790080910319000000,1.982949547723772,16.339296195,158,20377600,158,20430848,[],1790080893980000000,1790080910319000000,63,57,15,3,2026-09-22T12:41:34.133716+00:00,2026-09-22T12:41:34.136545+00:00,1,65,2026-09-22T12:41:50.263650+00:00,2026-09-22T12:41:50.267826+00:00,16,2026-09-22T12:41:33.892533587Z,1790080910393023459,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
