record_type,stage,block,arm,run,wal_mode,snapshot,official_status,eligible,errors,coverage_errors,warnings,qps,p99_ms,p999_ms,max_ms,elapsed_seconds,before.keys,before.data_capacity_bytes,before.data_bytes,before.data_rejections_total,before.applied_sequence,before.durable_sequence,before.wal_pending_bytes,after.keys,after.data_capacity_bytes,after.data_bytes,after.data_rejections_total,after.applied_sequence,after.durable_sequence,after.wal_pending_bytes,settled.keys,settled.data_capacity_bytes,settled.data_bytes,settled.data_rejections_total,settled.applied_sequence,settled.durable_sequence,settled.wal_pending_bytes,resources.engine.cpu_cores,resources.engine.cpu_window_seconds,resources.engine.cpu_samples,resources.engine.rss_bytes,resources.engine.rss_samples,resources.engine.hwm_bytes,resources.engine.errors,resources.engine.cpu_first_utc_ns,resources.engine.cpu_last_utc_ns,resources.gateway.cpu_cores,resources.gateway.cpu_window_seconds,resources.gateway.cpu_samples,resources.gateway.rss_bytes,resources.gateway.rss_samples,resources.gateway.hwm_bytes,resources.gateway.errors,resources.gateway.cpu_first_utc_ns,resources.gateway.cpu_last_utc_ns,resources.bench.cpu_cores,resources.bench.cpu_window_seconds,resources.bench.cpu_samples,resources.bench.rss_bytes,resources.bench.rss_samples,resources.bench.hwm_bytes,resources.bench.errors,resources.bench.cpu_first_utc_ns,resources.bench.cpu_last_utc_ns,snapshot_internal_samples,snapshot_idle_samples,snapshot_completed_delta,snapshot_window.first.line,snapshot_window.first.started_at,snapshot_window.first.finished_at,snapshot_window.first.snapshot_successes_total,snapshot_window.last.line,snapshot_window.last.started_at,snapshot_window.last.finished_at,snapshot_window.last.snapshot_successes_total,measurement_started_at,measurement_end_utc_ns,failed_stats_queries,stage_execution_state,before,after,settled,resources,snapshot_window,contrast,numerator_stage,denominator_stage,qps_ratio,p99_ratio,p999_ratio,engine_rss_ratio,engine_rss_increase_bytes,eligible_pairs,classification,triggered_metrics,metrics.qps.ratios,metrics.qps.recorded_ratios,metrics.qps.count_past_threshold,metrics.qps.median,metrics.qps.minimum,metrics.qps.maximum,metrics.p99.ratios,metrics.p99.recorded_ratios,metrics.p99.count_past_threshold,metrics.p99.median,metrics.p99.minimum,metrics.p99.maximum,metrics.p999.ratios,metrics.p999.recorded_ratios,metrics.p999.count_past_threshold,metrics.p999.median,metrics.p999.minimum,metrics.p999.maximum,engine_rss_diagnostic,engine_rss_pairs_past_threshold
round,stage-01-A,1,A,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],30640.993153818366,2.475749,3.30382,12.44455,16.318008933,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,1.210332102358737,16.136067086,156,5345280,156,5345280,[],1790075035295000000,1790075051431000000,2.7206426235120675,16.135893638,156,14934016,156,14934016,[],1790075035296000000,1790075051432000000,2.0172392691588232,16.135914315,156,20430848,156,20602880,[],1790075035296000000,1790075051432000000,62,62,0,3,2026-09-22T11:03:55.451336+00:00,2026-09-22T11:03:55.452506+00:00,1,64,2026-09-22T11:04:11.327582+00:00,2026-09-22T11:04:11.329683+00:00,1,2026-09-22T11:03:55.194003673Z,1790075051512012606,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],"[""bench resource sample unavailable; no memory values in this sample""]",26620.765342789007,3.330935,5.242289,17.998905,18.782330018,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,1.0903838734949247,18.653980946,179,6221824,179,6221824,[],1790075051758000000,1790075070412000000,2.3984070014425845,18.65404828,179,14876672,179,14876672,[],1790075051759000000,1790075070413000000,1.7819219094341057,18.654016107,179,20492288,179,20492288,[],1790075051759000000,1790075070413000000,72,64,17,3,2026-09-22T11:04:11.907565+00:00,2026-09-22T11:04:11.909737+00:00,1,73,2026-09-22T11:04:30.098497+00:00,2026-09-22T11:04:30.100918+00:00,18,2026-09-22T11:04:11.657397681Z,1790075070439727699,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-reliable-snapshot-off,reliable,off,valid,True,[],[],[],7362.139065453347,16.010968,28.041613,49.390374,67.915044195,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,0.40115583424126794,67.804074323,653,5423104,653,5423104,[],1790075070689000000,1790075138493000000,0.731076393516019,67.804131606,653,15007744,653,15007744,[],1790075070689000000,1790075138493000000,0.5296132241966894,67.804198157,653,20463616,653,20463616,[],1790075070690000000,1790075138494000000,262,262,0,3,2026-09-22T11:04:30.844317+00:00,2026-09-22T11:04:30.845031+00:00,1,264,2026-09-22T11:05:38.330053+00:00,2026-09-22T11:05:38.330803+00:00,1,2026-09-22T11:04:30.588635094Z,1790075138503679289,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-01-A,1,A,r01-reliable-snapshot-on,reliable,on,valid,True,[],[],[],8641.895067558034,8.403635,10.636986,18.348839,57.857680068,0,,,,0,0,0,5000,,,,500000,500000,0,5000,,,,500000,500000,0,0.4616439619160563,57.706809138,562,6258688,562,6258688,[],1790075138765000000,1790075196471000000,0.8342151851832801,57.706933241,562,14962688,562,14962688,[],1790075138765000000,1790075196472000000,0.603212593240384,57.707681156,562,20525056,562,20525056,[],1790075138765000000,1790075196473000000,224,222,56,3,2026-09-22T11:05:38.919469+00:00,2026-09-22T11:05:38.920628+00:00,1,226,2026-09-22T11:06:36.266782+00:00,2026-09-22T11:06:36.268161+00:00,57,2026-09-22T11:05:38.663349693Z,1790075196521029761,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],23880.942725432364,3.792976,5.91732,16.614185,20.9371969,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,1.0004941510839198,20.789726734,199,5292032,199,5292032,[],1790075197028000000,1790075217818000000,2.159239079242207,20.789731175,199,15044608,199,15044608,[],1790075197028000000,1790075217818000000,1.6032040796894393,20.789617755,199,20500480,199,20500480,[],1790075197029000000,1790075217818000000,80,80,0,3,2026-09-22T11:06:37.184449+00:00,2026-09-22T11:06:37.187136+00:00,1,82,2026-09-22T11:06:57.753787+00:00,2026-09-22T11:06:57.756404+00:00,1,2026-09-22T11:06:36.926927135Z,1790075217864124035,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],[],23763.66324826187,3.984188,6.122078,21.124018,21.040527076,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,1.0009339603782053,20.90047978,200,6123520,200,6123520,[],1790075218119000000,1790075239019000000,2.152590630596883,20.900397577,200,14962688,200,14962688,[],1790075218119000000,1790075239020000000,1.599994365876299,20.900073596,200,20537344,200,20537344,[],1790075218120000000,1790075239020000000,80,76,19,3,2026-09-22T11:06:58.276670+00:00,2026-09-22T11:06:58.280175+00:00,1,81,2026-09-22T11:07:18.551006+00:00,2026-09-22T11:07:18.553700+00:00,20,2026-09-22T11:06:58.016345617Z,1790075239056872693,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-reliable-snapshot-off,reliable,off,valid,True,[],[],[],8783.332981687328,7.841839,9.399701,17.434971,56.925998484,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,0.4605902179242771,56.774979108,553,5369856,553,5369856,[],1790075239330000000,1790075296105000000,0.8472048642235787,56.774933704,553,14958592,553,14958592,[],1790075239330000000,1790075296105000000,0.6122423612030327,56.774901906,553,20537344,553,20537344,[],1790075239330000000,1790075296105000000,221,221,0,3,2026-09-22T11:07:19.483539+00:00,2026-09-22T11:07:19.485515+00:00,1,223,2026-09-22T11:08:16.053816+00:00,2026-09-22T11:08:16.054539+00:00,1,2026-09-22T11:07:19.22949801Z,1790075296155496494,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-02-B,1,B,r01-reliable-snapshot-on,reliable,on,valid,True,[],[],[],8707.817039749663,8.172094,10.095101,20.427512,57.4196722,0,0,0,0,0,0,0,5000,0,103890,0,500000,500000,0,5000,0,103890,0,500000,500000,0,0.4621532663324488,57.297009302,558,6197248,558,6197248,[],1790075296426000000,1790075353723000000,0.8387889955770119,57.296889031,558,14917632,558,14917632,[],1790075296427000000,1790075353724000000,0.6070138156783216,57.296883698,558,22757376,558,22757376,[],1790075296427000000,1790075353724000000,223,220,56,3,2026-09-22T11:08:16.580748+00:00,2026-09-22T11:08:16.581497+00:00,1,225,2026-09-22T11:09:13.672134+00:00,2026-09-22T11:09:13.672945+00:00,57,2026-09-22T11:08:16.32508384Z,1790075353744756040,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-03-C,1,C,r01-throughput-snapshot-off,throughput,off,valid,True,[],[],[],28124.927197922825,2.861356,3.920198,17.982894,17.777823796,0,131072,0,0,0,0,0,5000,131072,103890,0,500000,500000,0,5000,131072,103890,0,500000,500000,0,1.1442320792998493,17.662500786,170,5279744,170,5279744,[],1790075354233000000,1790075371895000000,2.5212127677230725,17.662134894,170,14778368,170,14778368,[],1790075354233000000,1790075371896000000,1.8752049949174145,17.662068995,170,20537344,170,22831104,[],1790075354234000000,1790075371896000000,68,68,0,3,2026-09-22T11:09:14.390384+00:00,2026-09-22T11:09:14.392506+00:00,1,70,2026-09-22T11:09:31.852882+00:00,2026-09-22T11:09:31.854948+00:00,1,2026-09-22T11:09:14.130500736Z,1790075371908324532,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
round,stage-03-C,1,C,r01-throughput-snapshot-on,throughput,on,valid,True,[],[],[],27821.806367521,2.923651,4.090402,12.376892,17.971514624,0,131072,0,0,0,0,0,5000,131072,103890,0,500000,500000,0,5000,131072,103890,0,500000,500000,0,1.13525637457005,17.863806321,172,6127616,172,6127616,[],1790075372172000000,1790075390036000000,2.4876992429174987,17.863895777,172,14946304,172,14946304,[],1790075372173000000,1790075390037000000,1.849537744944639,17.863923075,172,20656128,172,20656128,[],1790075372173000000,1790075390037000000,69,65,17,3,2026-09-22T11:09:32.329471+00:00,2026-09-22T11:09:32.332393+00:00,1,71,2026-09-22T11:09:50.037969+00:00,2026-09-22T11:09:50.040316+00:00,18,2026-09-22T11:09:32.070798186Z,1790075390042312810,0,complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
